talhao,date,t_mean,t_max,t_min,precipitacao_total,evapotranspiracao_total,umidade_solo_mean,radiacao_solar_mean,ndvi_medio,ndvi_periodo,gdd,gdd_acumulado_30d,gdd_acumulado_90d,chuva_acumulada_30d,evapo_acumulada_30d,balanco_hidrico_30d,balanco_hidrico_lag_30d,balanco_hidrico_lag_60d,chuva_acumulada_lag_30d,radiacao_acumulada_30d,dias_calor_extremo_30d,dias_frio_extremo_30d,mes_seno,mes_cosseno,eventos_chuva_extrema_30d
RP_Talhao_Central,2021-08-12,21.52916666666667,30.0,14.8,0.0,4.47,0.28,220.20833333333334,0.1653728686395618,2021-08,3.5291666666666686,3.5291666666666686,3.5291666666666686,0.0,4.47,-4.47,-4.47,-4.47,0.0,220.20833333333334,0.0,0.0,-0.8660254037844384,-0.5000000000000004,0.0
RP_Talhao_Central,2021-08-13,22.53333333333333,30.7,16.2,0.0,4.89,0.28,223.41666666666666,0.1653728686395618,2021-08,4.533333333333331,8.0625,8.0625,0.0,9.36,-9.36,-4.47,-4.47,0.0,443.625,0.0,0.0,-0.8660254037844384,-0.5000000000000004,0.0
RP_Talhao_Central,2021-08-14,23.254166666666666,30.5,17.4,0.0,4.9,0.28,208.75,0.1653728686395618,2021-08,5.254166666666666,13.316666666666666,13.316666666666666,0.0,14.26,-14.26,-4.47,-4.47,0.0,652.375,0.0,0.0,-0.8660254037844384,-0.5000000000000004,0.0
RP_Talhao_Central,2021-08-15,23.59583333333333,31.1,16.8,0.0,4.61,0.28,214.04166666666666,0.1653728686395618,2021-08,5.595833333333331,18.912499999999998,18.912499999999998,0.0,18.87,-18.87,-4.47,-4.47,0.0,866.4166666666666,0.0,0.0,-0.8660254037844384,-0.5000000000000004,0.0
RP_Talhao_Central,2021-08-16,24.633333333333336,32.7,18.1,0.0,5.4799999999999995,0.28,207.04166666666666,0.1653728686395618,2021-08,6.633333333333336,25.545833333333334,25.545833333333334,0.0,24.35,-24.35,-4.47,-4.47,0.0,1073.4583333333333,0.0,0.0,-0.8660254037844384,-0.5000000000000004,0.0
RP_Talhao_Central,2021-08-17,24.295833333333334,31.3,18.3,0.0,4.68,0.2805416666666667,190.04166666666666,0.1653728686395618,2021-08,6.295833333333334,31.84166666666667,31.84166666666667,0.0,29.03,-29.03,-4.47,-4.47,0.0,1263.5,0.0,0.0,-0.8660254037844384,-0.5000000000000004,0.0
RP_Talhao_Central,2021-08-18,25.55,32.7,18.9,0.0,5.72,0.2805,232.58333333333334,0.1653728686395618,2021-08,7.550000000000001,39.391666666666666,39.391666666666666,0.0,34.75,-34.75,-4.47,-4.47,0.0,1496.0833333333333,0.0,0.0,-0.8660254037844384,-0.5000000000000004,0.0
RP_Talhao_Central,2021-08-19,24.775000000000002,31.7,19.1,0.0,6.17,0.279,237.25,0.1653728686395618,2021-08,6.775000000000002,46.16666666666667,46.16666666666667,0.0,40.92,-40.92,-4.47,-4.47,0.0,1733.3333333333333,0.0,0.0,-0.8660254037844384,-0.5000000000000004,0.0
RP_Talhao_Central,2021-08-20,23.875,30.4,16.9,0.0,5.34,0.279,238.41666666666666,0.1653728686395618,2021-08,5.875,52.04166666666667,52.04166666666667,0.0,46.26,-46.26,-4.47,-4.47,0.0,1971.75,0.0,0.0,-0.8660254037844384,-0.5000000000000004,0.0
RP_Talhao_Central,2021-08-21,23.666666666666668,30.9,17.0,0.0,5.58,0.279,236.29166666666666,0.1653728686395618,2021-08,5.666666666666668,57.70833333333334,57.70833333333334,0.0,51.839999999999996,-51.839999999999996,-4.47,-4.47,0.0,2208.0416666666665,0.0,0.0,-0.8660254037844384,-0.5000000000000004,0.0
RP_Talhao_Central,2021-08-22,23.90416666666667,31.2,17.3,0.0,5.53,0.279,239.91666666666666,0.1653728686395618,2021-08,5.904166666666669,63.61250000000001,63.61250000000001,0.0,57.37,-57.37,-4.47,-4.47,0.0,2447.9583333333335,0.0,0.0,-0.8660254037844384,-0.5000000000000004,0.0
RP_Talhao_Central,2021-08-23,25.087500000000002,32.3,18.0,0.0,5.54,0.280625,237.125,0.1653728686395618,2021-08,7.087500000000002,70.70000000000002,70.70000000000002,0.0,62.91,-62.91,-4.47,-4.47,0.0,2685.0833333333335,0.0,0.0,-0.8660254037844384,-0.5000000000000004,0.0
RP_Talhao_Central,2021-08-24,26.433333333333334,33.8,19.7,0.0,5.57,0.279,217.0,0.1653728686395618,2021-08,8.433333333333334,79.13333333333334,79.13333333333334,0.0,68.48,-68.48,-4.47,-4.47,0.0,2902.0833333333335,0.0,0.0,-0.8660254037844384,-0.5000000000000004,0.0
RP_Talhao_Central,2021-08-25,26.858333333333334,34.3,20.4,0.0,5.69,0.279,239.45833333333334,0.1653728686395618,2021-08,8.858333333333334,87.99166666666667,87.99166666666667,0.0,74.17,-74.17,-4.47,-4.47,0.0,3141.5416666666665,0.0,0.0,-0.8660254037844384,-0.5000000000000004,0.0
RP_Talhao_Central,2021-08-26,26.808333333333334,34.4,19.5,0.0,6.04,0.279,225.45833333333334,0.1653728686395618,2021-08,8.808333333333334,96.80000000000001,96.80000000000001,0.0,80.21,-80.21,-4.47,-4.47,0.0,3367.0,0.0,0.0,-0.8660254037844384,-0.5000000000000004,0.0
RP_Talhao_Central,2021-08-27,24.945833333333336,31.7,19.1,0.0,5.21,0.279,192.375,0.1653728686395618,2021-08,6.945833333333336,103.74583333333335,103.74583333333335,0.0,85.42,-85.42,-4.47,-4.47,0.0,3559.375,0.0,0.0,-0.8660254037844384,-0.5000000000000004,0.0
