talhao,date,t_mean,t_max,t_min,precipitacao_total,evapotranspiracao_total,umidade_solo_mean,radiacao_solar_mean,ndvi_medio,chuva_acumulada_30d,chuva_acumulada_60d,chuva_acumulada_90d,gdd_diario,GDA_mensal,ndvi_target
RP_Talhao_Central,2021-08-12,21.52916666666667,30.0,14.8,0.0,4.47,0.28,220.20833333333334,0.1653728686395618,0.0,0.0,0.0,3.5291666666666686,3.5291666666666686,0.1653728686395618
RP_Talhao_Central,2021-08-13,22.53333333333333,30.7,16.2,0.0,4.89,0.28,223.41666666666666,0.1653728686395618,0.0,0.0,0.0,4.533333333333331,8.0625,0.1653728686395618
RP_Talhao_Central,2021-08-14,23.254166666666666,30.5,17.4,0.0,4.9,0.28,208.75,0.1653728686395618,0.0,0.0,0.0,5.254166666666666,13.316666666666666,0.1653728686395618
RP_Talhao_Central,2021-08-15,23.59583333333333,31.1,16.8,0.0,4.61,0.28,214.04166666666666,0.1653728686395618,0.0,0.0,0.0,5.595833333333331,18.912499999999998,0.1653728686395618
RP_Talhao_Central,2021-08-16,24.633333333333336,32.7,18.1,0.0,5.4799999999999995,0.28,207.04166666666666,0.1653728686395618,0.0,0.0,0.0,6.633333333333336,25.545833333333334,0.1653728686395618
RP_Talhao_Central,2021-08-17,24.295833333333334,31.3,18.3,0.0,4.68,0.2805416666666667,190.04166666666666,0.1653728686395618,0.0,0.0,0.0,6.295833333333334,31.84166666666667,0.1653728686395618
RP_Talhao_Central,2021-08-18,25.55,32.7,18.9,0.0,5.72,0.2805,232.58333333333334,0.1653728686395618,0.0,0.0,0.0,7.550000000000001,39.391666666666666,0.1653728686395618
RP_Talhao_Central,2021-08-19,24.775000000000002,31.7,19.1,0.0,6.17,0.279,237.25,0.1653728686395618,0.0,0.0,0.0,6.775000000000002,46.16666666666667,0.1653728686395618
RP_Talhao_Central,2021-08-20,23.875,30.4,16.9,0.0,5.34,0.279,238.41666666666666,0.1653728686395618,0.0,0.0,0.0,5.875,52.04166666666667,0.1653728686395618
RP_Talhao_Central,2021-08-21,23.666666666666668,30.9,17.0,0.0,5.58,0.279,236.29166666666666,0.1653728686395618,0.0,0.0,0.0,5.666666666666668,57.70833333333334,0.1653728686395618
RP_Talhao_Central,2021-08-22,23.90416666666667,31.2,17.3,0.0,5.53,0.279,239.91666666666666,0.1653728686395618,0.0,0.0,0.0,5.904166666666669,63.61250000000001,0.1653728686395618
RP_Talhao_Central,2021-08-23,25.087500000000002,32.3,18.0,0.0,5.54,0.280625,237.125,0.1653728686395618,0.0,0.0,0.0,7.087500000000002,70.70000000000002,0.1653728686395618
RP_Talhao_Central,2021-08-24,26.433333333333334,33.8,19.7,0.0,5.57,0.279,217.0,0.1653728686395618,0.0,0.0,0.0,8.433333333333334,79.13333333333334,0.1653728686395618
RP_Talhao_Central,2021-08-25,26.858333333333334,34.3,20.4,0.0,5.69,0.279,239.45833333333334,0.1653728686395618,0.0,0.0,0.0,8.858333333333334,87.99166666666667,0.1653728686395618
RP_Talhao_Central,2021-08-26,26.808333333333334,34.4,19.5,0.0,6.04,0.279,225.45833333333334,0.1653728686395618,0.0,0.0,0.0,8.808333333333334,96.80000000000001,0.1653728686395618
RP_Talhao_Central,2021-08-27,24.945833333333336,31.7,19.1,0.0,5.21,0.279,192.375,0.1653728686395618,0.0,0.0,0.0,6.945833333333336,103.74583333333335,0.1653728686395618
RP_Talhao_Central,2021-08-28,21.216666666666665,25.1,18.7,0.8999999999999999,3.67,0.279,167.83333333333334,0.1653728686395618,0.8999999999999999,0.8999999999999999,0.8999999999999999,3.216666666666665,106.9625,0.1653728686395618
RP_Talhao_Central,2021-08-29,21.979166666666668,27.6,17.8,0.0,3.52,0.279,141.20833333333334,0.1653728686395618,0.8999999999999999,0.8999999999999999,0.8999999999999999,3.979166666666668,110.94166666666668,0.1653728686395618
RP_Talhao_Central,2021-08-30,22.34583333333333,27.6,16.6,0.2,4.63,0.279125,203.70833333333334,0.1653728686395618,1.0999999999999999,1.0999999999999999,1.0999999999999999,4.345833333333331,115.28750000000001,0.1653728686395618
RP_Talhao_Central,2021-08-31,22.758333333333336,29.1,17.0,0.0,5.91,0.27875,233.66666666666666,0.1653728686395618,1.0999999999999999,1.0999999999999999,1.0999999999999999,4.758333333333336,120.04583333333335,0.1653728686395618
RP_Talhao_Central,2021-09-01,22.337500000000002,28.8,16.2,0.0,5.56,0.27675,237.33333333333334,0.1296162015402646,1.0999999999999999,1.0999999999999999,1.0999999999999999,4.337500000000002,124.38333333333335,0.1296162015402646
RP_Talhao_Central,2021-09-02,23.5625,30.6,17.6,0.0,5.14,0.276,229.79166666666666,0.1296162015402646,1.0999999999999999,1.0999999999999999,1.0999999999999999,5.5625,129.94583333333335,0.1296162015402646
RP_Talhao_Central,2021-09-03,24.833333333333332,32.2,19.2,0.0,5.24,0.276,231.875,0.1296162015402646,1.0999999999999999,1.0999999999999999,1.0999999999999999,6.833333333333332,136.7791666666667,0.1296162015402646
RP_Talhao_Central,2021-09-04,26.037499999999998,33.9,18.6,0.0,5.36,0.2765,248.0,0.1296162015402646,1.0999999999999999,1.0999999999999999,1.0999999999999999,8.037499999999998,144.8166666666667,0.1296162015402646
RP_Talhao_Central,2021-09-05,27.770833333333332,36.0,20.0,0.0,6.36,0.276,228.54166666666666,0.1296162015402646,1.0999999999999999,1.0999999999999999,1.0999999999999999,9.770833333333332,154.5875,0.1296162015402646
RP_Talhao_Central,2021-09-06,27.537499999999998,35.7,20.5,0.0,6.53,0.276,252.66666666666666,0.1296162015402646,1.0999999999999999,1.0999999999999999,1.0999999999999999,9.537499999999998,164.125,0.1296162015402646
RP_Talhao_Central,2021-09-07,28.208333333333332,36.9,19.9,0.0,6.54,0.2755,223.16666666666666,0.1296162015402646,1.0999999999999999,1.0999999999999999,1.0999999999999999,10.208333333333332,174.33333333333334,0.1296162015402646
